name,rating,position,version,price,skills,weak_foot,work_rate,pace,shooting,passing,dribbling,defending,physicality,height,base_stats,in_game_stats
Joe Aribo,75,CM,Normal,950,4,3,H \ H,80,68,72,78,68,76,"183cm | 6'0""",33,442
Ibrahima Sissoko,75,"CM,CB,CDM",Normal,550,3,4,M \ M,62,60,71,70,72,84,"193cm | 6'4""",1,419
Iván Alejo Peralta,75,"RM,LM,RW",Normal,550,4,3,M \ M,81,73,73,76,44,67,"184cm | 6'0""",-48,414
Simon Banza,75,"ST,CF",Normal,550,3,2,H \ L,69,74,54,74,31,76,"189cm | 6'2""",35,378
Abdülkadir Ömür,75,"CAM,CM,RW",Normal,650,4,3,H \ M,83,66,73,81,52,56,"168cm | 5'6""",9,411
Felix Uduokhai,75,CB,Normal,600,2,3,M \ M,67,39,53,59,77,74,"193cm | 6'4""",5,369
Miha Zajc,75,"CM,CDM,CAM",Normal,550,3,3,M \ M,66,73,75,75,66,65,"178cm | 5'10""",14,420
Lincoln,75,"CAM,CM",Normal,600,4,3,H \ M,78,70,77,78,45,65,"178cm | 5'10""",23,413
Orel Mangala,75,"CM,CDM",Normal,550,3,3,M \ M,64,54,71,82,70,72,"178cm | 5'10""",7,413
David Turnbull,75,"CM,CAM",Normal,550,3,4,H \ M,68,72,77,74,63,65,"185cm | 6'1""",11,419
Dodô,75,"RB,RWB",Normal,550,3,3,H \ M,88,59,71,77,68,70,"166cm | 5'5""",35,433
Jordan Lotomba,75,"RB,RWB,LB",Normal,800,2,4,M \ M,79,48,66,73,71,66,"177cm | 5'10""",0,403
Yoane Wissa,75,"LW,LM,ST",Normal,550,3,3,M \ M,86,74,65,76,28,68,"176cm | 5'9""",14,397
Toni Martínez,75,"ST,CF",Normal,550,3,3,H \ H,69,76,59,72,24,77,"187cm | 6'2""",4,377
Jean,75,GK,Libertadores,2.4K,1,2,M \ M,74,75,68,78,29,76,"188cm | 6'2""",-150,400
Dimitri Liénard,75,"LWB,LB,CM",Normal,600,3,3,M \ M,53,70,79,73,72,71,"181cm | 5'11""",9,418
Pedrinho,75,"CM,CAM",Normal,550,3,3,H \ H,77,71,77,77,59,61,"170cm | 5'7""",9,422
Jhon Mosquera,75,"LM,LW",Normal,550,3,3,H \ M,78,70,70,75,59,76,"185cm | 6'1""",-7,428
Jean-Ricner Bellegarde,75,"CM,CDM",Normal,550,3,3,M \ M,78,62,72,76,70,71,"172cm | 5'8""",42,429
Dennis Geiger,75,CM,Normal,600,3,3,M \ M,53,53,74,79,61,58,"173cm | 5'8""",12,378
Victor Nelsson,75,CB,Normal,600,2,3,M \ H,71,43,62,64,74,83,"185cm | 6'1""",26,397
Guus Til,75,"CAM,CM",Normal,800,3,3,H \ H,69,75,70,72,61,75,"186cm | 6'1""",3,422
Santiago Comesaña Veiga,75,"CDM,CM,CAM",Normal,550,3,4,M \ M,59,68,67,70,73,73,"184cm | 6'0""",8,410
Andrea Pinamonti,75,"ST,CF",Normal,550,3,3,M \ M,74,77,53,71,27,72,"188cm | 6'2""",0,374
Pol Mikel Lirola Kosok,75,"RB,RWB,RM",Normal,550,3,3,M \ M,75,62,71,73,71,70,"183cm | 6'0""",0,422
Ryan Sessegnon,75,"LWB,LB",Normal,600,4,3,H \ M,82,65,72,77,68,66,"178cm | 5'10""",28,430
Strefezza,75,"RW,RM",Normal,550,3,3,H \ M,82,64,72,77,27,50,"168cm | 5'6""",14,372
Morgan Gibbs-White,75,"CAM,RM,ST",Normal,850,4,2,M \ M,76,70,73,76,57,66,"178cm | 5'10""",21,418
Alberth Elis,75,"ST,RM,CF",Normal,1K,4,4,H \ M,91,72,65,75,31,77,"183cm | 6'0""",30,411
Aarón Martín Caricol,75,"LWB,LB,LM",Normal,600,3,3,M \ M,61,47,70,75,72,67,"178cm | 5'10""",4,392
Anthony Caci,75,"LWB,CB,LB",Normal,550,3,5,M \ M,69,52,68,67,75,72,"185cm | 6'1""",2,403
Michael Ngadeu,75,CB,Normal,550,2,5,M \ H,60,44,56,61,74,83,"190cm | 6'3""",4,378
Juan Camilo Hernández,75,"ST,RM,LM,CF",Normal,950,3,4,H \ M,82,75,65,73,42,74,"176cm | 5'9""",12,411
Joseph Willock,75,"CM,CAM",Normal,600,3,3,H \ H,76,72,69,77,67,70,"179cm | 5'10""",18,431
Djordje Mihailovic,75,"CF,CM,CAM,ST",Normal,900,4,4,H \ H,72,70,76,76,60,68,"178cm | 5'10""",22,422
Daniel Muñoz,75,"RB,RWB,CB,CDM",Normal,550,2,3,H \ H,78,50,66,70,73,75,"181cm | 5'11""",0,412
Kevin Danso,75,CB,Normal,700,2,3,M \ M,79,32,50,57,73,78,"190cm | 6'3""",15,369
Ignacio Vidal Miralles,75,"RB,RWB",Normal,550,3,3,H \ M,75,56,69,69,72,65,"180cm | 5'11""",1,406
Ruben Vargas,75,"LM,RM,LW",Normal,950,4,4,H \ M,89,69,67,79,54,64,"179cm | 5'10""",26,422
Rodrigo Becão,75,CB,Normal,600,2,2,L \ M,49,33,56,49,78,71,"191cm | 6'3""",25,336
Ethan Pinnock,75,CB,Normal,550,2,3,M \ H,67,37,57,61,76,79,"194cm | 6'4""",11,377
Wilson Manafá,75,"RB,RWB,LB",Normal,550,3,4,H \ M,85,58,67,72,69,68,"175cm | 5'9""",29,419
Mitchel Bakker,75,"LB,LWB",Normal,600,2,2,M \ M,85,53,66,71,72,75,"185cm | 6'1""",7,422
Kai Wagner,75,"LB,LWB",Normal,550,2,3,H \ M,75,48,64,68,73,78,"182cm | 6'0""",8,406
Masaya Okugawa,75,"CAM,LM",Normal,550,3,4,M \ M,80,66,70,80,43,45,"177cm | 5'10""",2,384
Myron Boadu,75,"ST,CF",Normal,950,3,5,H \ M,88,74,62,76,28,66,"183cm | 6'0""",40,394
Eldor Shomurodov,75,"ST,CF",Normal,600,3,4,H \ M,82,74,63,75,39,70,"190cm | 6'3""",48,403
Paulinho,75,"LM,CAM,LW",Normal,3.9K,4,3,M \ M,85,68,71,81,36,63,"177cm | 5'10""",25,404
Jean-Pierre Nsame,75,"ST,CF",Normal,550,3,4,H \ M,77,74,54,71,27,80,"188cm | 6'2""",6,383
Carles Pérez Sayol,75,"RW,RM,CF",Normal,550,4,2,H \ M,80,73,66,79,36,62,"173cm | 5'8""",1,396
Youcef Atal,75,"RB,RWB,RM",Normal,800,4,5,H \ M,88,67,71,79,68,68,"175cm | 5'9""",95,441
Junior Firpo,75,"LB,LWB",Normal,500,3,3,M \ M,75,62,70,71,72,75,"184cm | 6'0""",18,425
David Martínez,75,"CB,LB",Libertadores,800,2,3,H \ M,79,54,70,66,74,79,"182cm | 6'0""",0,422
Jawad El Yamiq,75,CB,Normal,900,2,3,M \ M,86,48,52,62,74,80,"193cm | 6'4""",293,402
Mohamed Bayo,75,"ST,CF",Normal,550,3,2,M \ M,70,76,60,73,26,62,"188cm | 6'2""",7,367
Perr Schuurs,75,CB,Normal,600,2,3,M \ M,66,64,71,66,76,74,"191cm | 6'3""",11,417
Albert Sambi Lokonga,75,"CM,CDM",Normal,1.9K,3,3,M \ M,66,58,75,78,69,69,"183cm | 6'0""",17,415
Álvaro Aguado Méndez,75,"CM,CDM,CAM",Normal,550,3,3,H \ M,75,70,73,74,62,61,"175cm | 5'9""",10,415
Tariq Lamptey,75,"RWB,RB",Normal,550,2,3,H \ M,87,44,66,76,70,49,"163cm | 5'4""",29,392
Leonardo Balerdi,75,CB,Normal,800,2,3,M \ M,68,36,57,64,75,75,"187cm | 6'2""",-13,375
Bryan Mbeumo,75,"RW,RM,ST",Normal,550,4,2,H \ H,81,73,70,76,41,71,"171cm | 5'7""",24,412
Loïs Openda,75,"ST,CF",Normal,1K,3,3,H \ L,93,73,64,74,26,76,"174cm | 5'9""",137,406
Yacine Adli,75,"CM,CAM",Normal,600,3,3,H \ M,66,70,76,75,66,69,"186cm | 6'1""",9,422
Nehuén Pérez,75,CB,Normal,600,2,3,M \ H,57,25,47,51,77,74,"186cm | 6'1""",5,331
Teddy Teuma,75,"CM,CDM",Normal,550,3,5,H \ M,68,73,76,75,70,73,"176cm | 5'9""",49,435
Georgiy Bushchan,75,GK,Normal,550,1,3,M \ M,76,65,80,78,27,72,"196cm | 6'5""",10,398
Léandre Tawamba,75,"ST,CF",Normal,550,3,3,H \ L,64,75,56,70,24,83,"189cm | 6'2""",5,372
Pavel Bucha,75,"CM,CDM,CAM",Normal,550,3,4,M \ M,71,71,75,76,67,66,"177cm | 5'10""",2,426
Bruno Costa,75,CM,Normal,650,3,3,M \ M,67,72,75,75,64,62,"174cm | 5'9""",5,415
Santiago Giménez,75,"ST,CF",Normal,550,2,3,M \ M,74,76,67,71,52,80,"182cm | 6'0""",88,420
Michal Sadílek,75,"CDM,LB,CM",Normal,550,3,4,M \ H,73,61,70,73,72,78,"169cm | 5'7""",7,427
Toma Bašić,75,"CM,CDM",Normal,550,3,3,H \ M,59,66,75,73,72,78,"190cm | 6'3""",9,423
Ersin Destanoğlu,75,GK,Normal,600,1,1,M \ M,75,74,73,75,38,75,"195cm | 6'5""",7,410
Marash Kumbulla,75,CB,Normal,550,2,3,M \ M,49,32,53,56,77,77,"191cm | 6'3""",9,344
Kyogo Furuhashi,75,"ST,CF,LW",Normal,950,3,4,H \ H,87,75,68,73,47,66,"170cm | 5'7""",64,416
Iddrisu Baba,75,"CDM,CB,CM",Normal,550,2,4,M \ H,63,50,64,64,75,78,"185cm | 6'1""",0,394
Jesper Lindstrøm,75,"CAM,CF",Normal,600,3,3,H \ M,87,70,69,78,48,63,"182cm | 6'0""",41,415
Vítor Tormena de Farias,75,CB,Normal,550,2,2,M \ M,53,36,58,60,77,77,"192cm | 6'4""",5,361
Enzo Le Fée,75,"CM,RM,CAM",Normal,550,4,3,M \ M,59,54,76,78,59,47,"170cm | 5'7""",2,373
Jérémy Doku,75,"RW,RM",Normal,800,4,3,H \ M,91,65,66,80,25,64,"171cm | 5'7""",33,391
Riccardo Sottil,75,"LW,LM,RW",Normal,550,4,3,M \ L,87,64,68,78,34,52,"180cm | 5'11""",10,383
Fran García,75,"LB,LWB,LM",Normal,550,3,3,H \ M,89,49,66,76,68,63,"167cm | 5'6""",30,411
Aihen Muñoz Capellán,75,"LB,LWB",Normal,550,3,3,H \ M,76,54,69,73,72,70,"175cm | 5'9""",4,414
Amos Pieper,75,CB,Normal,600,2,3,M \ M,65,32,53,55,78,74,"191cm | 6'3""",5,357
Odilon Kossounou,75,"CB,RB",Normal,550,2,3,M \ M,74,32,60,66,75,78,"191cm | 6'3""",15,385
Robert Rojas,75,"RB,RWB,CB",Libertadores,750,2,3,M \ H,80,56,64,66,74,76,"176cm | 5'9""",10,416
Petr Ševčík,75,"CM,CDM,RM",Normal,950,3,4,H \ H,74,70,76,77,69,73,"172cm | 5'8""",11,439
Agustín Palavecino,75,"CM,CAM",Libertadores,750,4,3,M \ L,77,72,76,79,63,64,"179cm | 5'10""",4,431
Jon Moncayola Tollar,75,"CM,CDM",Normal,550,3,4,M \ H,62,65,73,71,73,67,"189cm | 6'2""",3,411
Aaron Hickey,75,"LWB,RWB,LB",Normal,550,2,5,H \ H,77,55,69,73,70,58,"175cm | 5'9""",12,402
Jean Lucas,75,"CM,CDM,CAM",Normal,800,3,3,H \ M,74,69,73,75,68,73,"181cm | 5'11""",12,432
Brennan Johnson,75,"RW,RM,ST",Normal,550,3,4,H \ L,88,72,67,76,41,57,"181cm | 5'11""",51,401
Karim Adeyemi,75,"ST,CF",Normal,950,4,3,H \ M,93,76,66,78,24,70,"177cm | 5'10""",528,407
Daniel Santos Bragança,75,CM,Normal,550,4,4,M \ M,80,66,75,81,64,63,"178cm | 5'10""",26,429
Alan Velasco,75,"LM,CAM,LW",Normal,550,4,4,H \ M,83,68,70,81,53,61,"167cm | 5'6""",5,416
Tiago Djaló,75,"CB,RB,LB",Normal,1K,2,3,M \ H,81,42,60,63,76,77,"190cm | 6'3""",77,399
Matias Viña,75,"LWB,LB,LM",Normal,700,2,3,H \ M,81,62,70,74,68,68,"181cm | 5'11""",11,423
Lukas Provod,75,"CM,LM",Normal,950,3,4,H \ H,75,74,77,76,69,78,"189cm | 6'2""",8,449
Luke Thomas,75,"LB,LWB",Normal,600,2,2,H \ H,75,42,66,71,71,71,"177cm | 5'10""",1,396
Melvin Bard,75,"LB,LWB",Normal,850,3,3,M \ M,76,52,67,74,71,70,"173cm | 5'8""",8,410
Oscar Dorley,75,"LB,LWB,CM,LM",Normal,550,4,3,H \ H,83,55,74,76,69,69,"174cm | 5'9""",8,426
Nico González,75,CM,Normal,550,4,3,M \ M,66,63,74,72,73,78,"188cm | 6'2""",19,426
Kamaldeen Sulemana,75,"LW,LM,ST",Normal,1K,4,4,H \ M,93,69,66,80,28,62,"174cm | 5'9""",49,398
Armando Broja,75,"ST,CF",Normal,550,3,3,M \ L,76,74,54,75,29,76,"191cm | 6'3""",90,384
Facundo Farías,75,"ST,LM,CF",Libertadores,2.8K,4,3,H \ M,86,72,69,83,39,70,"171cm | 5'7""",18,419
Adrien Truffert,75,"LB,LWB",Normal,800,2,3,H \ M,73,55,70,73,72,68,"173cm | 5'8""",2,411
Gonçalo Matias Ramos,75,"ST,CF",Normal,550,2,4,H \ M,77,73,64,74,40,80,"185cm | 6'1""",218,408
Arthur Theate,75,CB,Normal,800,2,3,H \ M,72,40,51,53,75,79,"184cm | 6'0""",8,370
João Mário Neto Lopes,75,"RB,RWB",Normal,550,3,3,H \ H,86,62,68,75,69,63,"179cm | 5'10""",10,423
Ansgar Knauff,75,"RM,LM,RW",Normal,550,3,3,M \ M,87,62,68,77,51,58,"180cm | 5'11""",25,403
Josip Juranović,75,"RB,RWB,LB",Normal,550,2,4,H \ H,86,64,73,74,70,68,"173cm | 5'8""",83,435
Ondřej Lingr,75,"CAM,RM,LM",Normal,550,3,3,H \ H,79,73,71,77,44,78,"175cm | 5'9""",-2,422
Kerem Aktürkoğlu,75,"LM,RM,LW",Normal,550,4,2,H \ M,84,70,67,77,37,56,"173cm | 5'8""",52,391
Myrto Uzuni,75,"LM,ST,LW",Normal,550,4,3,H \ M,83,72,66,79,27,63,"178cm | 5'10""",18,390
Aleš Mandous,75,GK,Normal,550,1,3,M \ M,76,75,79,77,19,73,"188cm | 6'2""",1,399
Jakub Pešek,75,"RM,LM,RW",Normal,550,3,3,H \ M,86,69,69,77,28,49,"173cm | 5'8""",1,378
Simone Verdi,75,"CF,CAM,ST",Normal,550,4,5,H \ L,78,73,74,79,43,50,"174cm | 5'9""",2,397
Nathan Redmond,75,"LM,ST,LW",Normal,550,4,3,H \ M,80,72,70,79,30,51,"173cm | 5'8""",4,382
Nacer Chadli,75,"LM,LW",Normal,550,4,4,H \ M,74,75,74,77,56,74,"187cm | 6'2""",5,430
Layvin Kurzawa,75,"LB,LWB",Normal,550,3,3,H \ L,71,65,72,76,72,69,"182cm | 6'0""",9,425
Andreas Cornelius,75,"ST,CF",Normal,550,2,3,M \ M,64,76,61,63,36,80,"193cm | 6'4""",9,380
Jean-Daniel Akpa Akpro,75,CM,Normal,950,3,4,H \ H,80,67,71,78,72,77,"180cm | 5'11""",35,445
Soualiho Meïté,75,"CM,CDM",Normal,550,3,3,M \ M,66,59,72,77,71,78,"189cm | 6'2""",7,423
Amin Younes,75,"CAM,LM,CF",Normal,550,4,2,H \ M,69,68,72,81,38,61,"170cm | 5'7""",1,389
André Filipe Tavares Gomes,75,"CM,CDM",Normal,550,4,4,L \ M,51,67,76,75,69,74,"188cm | 6'2""",15,412
Jean-Philippe Gbamin,75,"CDM,CM",Normal,550,3,3,M \ M,72,56,71,72,76,72,"186cm | 6'1""",0,419
Anwar El Ghazi,75,"LM,RM,LW",Normal,750,4,4,H \ M,70,78,70,75,35,66,"188cm | 6'2""",12,394
Théo Bongonda,75,"LW,LM",Normal,550,4,3,M \ M,79,71,71,79,33,60,"177cm | 5'10""",10,393
Krzysztof Piatek,75,"ST,CF",Normal,550,3,3,M \ M,72,76,54,72,36,71,"183cm | 6'0""",11,381
Ainsley Maitland-Niles,75,"RWB,RB,RM",Normal,750,4,3,M \ M,78,62,70,74,70,71,"177cm | 5'10""",14,425
Antonio Villa Suárez,75,"LM,RM,CAM,LW",Normal,550,4,4,H \ M,74,63,74,77,53,49,"173cm | 5'8""",4,390
Marko Pjaca,75,"CF,ST",Normal,550,3,4,M \ M,77,69,74,81,41,63,"186cm | 6'1""",4,405
Giuseppe Pezzella,75,"LB,LWB,LM",Normal,600,3,3,M \ M,76,57,68,72,69,75,"187cm | 6'2""",6,417
Malang Sarr,75,"CB,LB",Normal,800,2,2,M \ H,67,52,69,65,75,74,"182cm | 6'0""",12,402
Uroš Račić,75,"CM,CDM",Normal,550,3,4,M \ M,62,73,74,72,76,80,"193cm | 6'4""",2,437
Jack Diamond,75,"LM,CAM,LW",IF,27K,3,4,H \ M,93,70,65,77,42,70,"175cm | 5'9""",46,417
Matheus Leite Nascimento,75,"RM,CF,RW,ST",Normal,600,4,4,H \ L,85,75,64,79,36,62,"175cm | 5'9""",12,401
Papakouli Diop,75,"CDM,CM",Normal,550,3,3,M \ M,35,66,67,67,73,83,"179cm | 5'10""",6,391
Nordin Amrabat,75,"RW,RM,CAM,LW",Normal,550,3,2,M \ M,74,72,75,78,53,83,"179cm | 5'10""",27,435
Clément Grenier,75,"CM,CDM,CAM",Normal,550,3,4,M \ M,40,73,79,74,62,67,"187cm | 6'2""",8,395
Teófilo Gutiérrez,75,"ST,CAM,CF",Libertadores,4.5K,4,3,H \ L,52,75,74,79,28,75,"180cm | 5'11""",9,383
Robert Žulj,75,"CAM,CM,ST",Normal,550,3,3,M \ M,58,77,77,75,40,72,"189cm | 6'2""",6,399
Rodrigo Ely,75,CB,Normal,600,2,2,M \ H,48,31,44,53,75,72,"188cm | 6'2""",7,323
Viktor Claesson,75,"LM,CAM,LW",Normal,550,3,3,H \ H,74,72,72,75,50,73,"183cm | 6'0""",6,416
Tarek Hamed,75,"CDM,CM",Normal,550,2,3,M \ H,62,58,67,69,74,78,"169cm | 5'7""",16,408
Ivan Ordets,75,CB,Normal,550,2,3,M \ M,60,53,52,49,77,81,"195cm | 6'5""",3,372
Samuele Birindelli,75,"RWB,RB,RM",Normal,550,3,4,H \ M,84,49,64,72,71,66,"175cm | 5'9""",7,406
Michael Richard Delgado de Oliveira,75,"LW,LM,RW",Normal,550,4,3,H \ M,84,70,63,83,28,56,"166cm | 5'5""",9,384
Pietro Beruatto,75,"LB,LWB",Normal,550,2,3,M \ M,70,43,59,65,75,69,"184cm | 6'0""",9,381
Samuel Dias Lino,75,"LM,RM,ST,LW",Normal,550,3,3,H \ M,81,71,67,76,30,64,"178cm | 5'10""",7,389
Gabriel Veron Fonseca de Souza,75,"RM,LM,RW",Normal,550,4,3,H \ M,84,68,68,79,28,50,"176cm | 5'9""",23,377
Soufiane Rahimi,75,"LM,ST,LW",Normal,550,4,4,H \ M,85,73,70,74,38,65,"181cm | 5'11""",16,405
Jevani Brown,75,"CAM,CF",IF,23.5K,3,3,M \ M,90,73,75,78,56,78,"175cm | 5'9""",49,450
Danylo Sikan,75,"ST,CF",IF,18.75K,2,2,M \ M,86,78,60,77,38,68,"187cm | 6'2""",28,407
Fabien Centonze,75,"RWB,RB",non-rare,750,2,2,H \ M,81,51,68,70,70,78,"182cm | 6'0""",15,418
Dimitri Petratos,75,"ST,LM,CAM,CF",IF,16K,3,4,M \ L,77,75,75,78,58,81,"176cm | 5'9""",20,444
Eoin Doyle,75,"ST,CF",IF,15.75K,2,4,H \ M,74,76,70,75,38,81,"183cm | 6'0""",21,414
CJ dos Santos,75,GK,World Cup Player,0,1,2,M \ M,71,71,71,71,44,71,"194cm | 6'4""",-6,399
Fernán Faerron,75,"CB,RWB",World Cup Player,0,2,3,M \ M,79,51,62,70,71,79,"188cm | 6'2""",0,412
Nawaf Al Aqidi,75,GK,World Cup Player,0,1,3,M \ M,76,73,70,65,44,72,"188cm | 6'2""",1,400
Haroune Camara,75,"ST,CF",World Cup Player,0,2,3,H \ L,87,71,61,71,34,79,"184cm | 6'0""",11,403
Garang Kuol,75,"LM,LW",World Cup Player,0,2,3,H \ M,92,70,65,73,38,56,"175cm | 5'9""",99,394
Emmanuel Latte Lath,75,"ST,CF,LW",IF,15.5K,3,3,M \ M,86,75,69,78,48,67,"177cm | 5'10""",37,423
Lallianzuala Chhangte,75,"RW,RM,ST,LW",IF,14K,3,3,H \ L,96,65,67,76,40,70,"167cm | 5'6""",88,414
Maximilian Wöber,75,CB,non-rare,600,2,3,M \ H,72,51,66,64,74,80,"189cm | 6'2""",29,407
Bram Nuytinck,75,CB,non-rare,600,2,2,L \ H,63,40,53,58,79,71,"190cm | 6'3""",15,364
Djordje Mihailovic,75,"CF,CM,CAM,ST",non-rare,550,4,4,H \ H,72,70,76,76,60,68,"178cm | 5'10""",26,422
Georginio Rutter,75,"ST,CF",non-rare,600,3,5,M \ M,77,74,59,76,24,64,"182cm | 6'0""",38,374
Mario Lemina,75,"CM,CDM",non-rare,550,3,4,M \ M,68,67,74,76,74,75,"184cm | 6'0""",24,434
Vincent Aboubakar,75,"ST,CF",non-rare,550,4,4,H \ M,73,74,71,75,36,81,"184cm | 6'0""",60,410
Michael Frey,75,"ST,CF",non-rare,550,3,4,H \ H,61,77,63,65,42,88,"188cm | 6'2""",18,396
Josip Juranovic,75,"RB,RWB,LB",non-rare,550,2,4,H \ H,86,64,73,74,70,68,"173cm | 5'8""",61,435
Domenico Criscito,75,"CB,LB,LM",non-rare,550,3,3,M \ H,68,61,74,71,77,71,"183cm | 6'0""",22,422
Ayew,75,"ST,CF,RW",non-rare,550,4,3,H \ M,69,76,72,77,57,74,"176cm | 5'9""",30,425
Rogic,75,"CM,CAM",non-rare,550,4,4,H \ M,70,70,74,80,58,73,"188cm | 6'2""",45,425
Anthony Gordon,75,"LM,RM,LW",non-rare,550,3,3,H \ M,80,69,72,75,37,62,"183cm | 6'0""",-9,395
Djed Spence,75,"RWB,RB",non-rare,800,3,3,H \ H,89,43,58,74,67,63,"184cm | 6'0""",15,394
Cédric,75,"RB,RWB",non-rare,550,3,4,H \ M,71,61,70,75,73,64,"172cm | 5'8""",9,414
Albert Sambi Lokonga,75,"CM,CDM",non-rare,550,3,3,M \ M,66,58,75,78,69,69,"183cm | 6'0""",16,415
Kamaldeen Sulemana,75,"LW,LM,ST",non-rare,550,4,4,H \ M,93,69,66,80,28,62,"174cm | 5'9""",34,398
Benoît Costil,75,GK,non-rare,600,1,3,M \ M,73,74,75,75,49,76,"187cm | 6'2""",9,422
Matias Viña,75,"LWB,LB,LM",non-rare,550,2,3,H \ M,81,62,70,74,68,68,"181cm | 5'11""",10,423
Éder Balanta,75,"CDM,CM",non-rare,550,2,2,M \ H,64,43,62,69,76,84,"181cm | 5'11""",28,398
Alberth Elis,75,"ST,RM,CF",Rare,950,4,4,H \ M,91,72,65,75,31,77,"183cm | 6'0""",37,411
Islam Slimani,75,"ST,CF",non-rare,550,2,3,H \ H,44,76,72,69,47,80,"188cm | 6'2""",25,388
Eldor Shomurodov,75,"ST,CF",non-rare,550,3,4,H \ M,82,74,63,75,39,70,"190cm | 6'3""",22,403
Marc Albrighton,75,"RM,RWB,RW",non-rare,550,3,3,H \ H,65,68,76,76,61,65,"175cm | 5'9""",11,411
Samuel Sáiz Alonso,75,"ST,RM,LM,CF",Rare,950,4,3,H \ M,79,75,74,77,31,70,"174cm | 5'9""",24,406
Hwang,75,"ST,CF,LW",non-rare,0,3,4,H \ M,77,78,65,73,42,74,"185cm | 6'1""",12,409
Marvelous Nakamba,75,"CDM,CM",non-rare,550,3,2,L \ H,62,49,62,71,74,76,"178cm | 5'10""",18,394
Karl Darlow,75,GK,non-rare,550,1,2,M \ M,77,71,68,78,58,74,"190cm | 6'3""",19,426
Hwang,75,"ST,CF,LW",non-rare,550,3,4,H \ M,77,78,65,73,42,74,"185cm | 6'1""",11,409
Alexandru Maxim,75,"CAM,CM,LM",non-rare,550,5,4,H \ M,69,73,73,79,32,58,"177cm | 5'10""",36,384
Omar Colley,75,CB,non-rare,550,2,3,M \ H,65,31,48,54,74,83,"191cm | 6'3""",7,355
Georges-Kévin Nkoudou,75,"LM,LW",Rare,950,3,4,H \ L,93,67,68,79,34,58,"172cm | 5'8""",142,399
Mariano,74,"ST,CF",Rare,950,3,4,M \ M,74,76,61,71,45,78,"180cm | 5'11""",0,405
Calvin Bassey,74,"LB,CB,LWB",Normal,1.5K,2,3,H \ H,83,44,64,69,70,86,"185cm | 6'1""",87,416
Maarten Stekelenburg,74,GK,Normal,1K,1,4,M \ M,70,75,75,72,31,79,"197cm | 6'6""",3,402
Gerrit Holtmann,74,"LW,LM,RW",Normal,3.2K,3,2,M \ M,94,67,67,73,56,60,"185cm | 6'1""",34,417
Adama Soumaoro,74,CB,Normal,450,2,3,M \ M,53,37,54,55,73,78,"187cm | 6'2""",1,350
Jerdy Schouten,74,"CDM,CM",Normal,550,4,3,M \ H,62,55,66,72,73,68,"185cm | 6'1""",2,396
Damien Da Silva,74,CB,Normal,1.5K,2,4,M \ M,36,37,57,52,75,73,"184cm | 6'0""",6,330
Allan McGregor,74,GK,Normal,350,1,3,M \ M,73,73,69,74,36,76,"183cm | 6'0""",1,401
Craig Gordon,74,GK,Normal,350,1,3,M \ M,73,72,66,77,35,72,"193cm | 6'4""",13,395
Antonio Mirante,74,GK,Normal,700,1,2,M \ M,71,73,65,74,44,75,"193cm | 6'4""",3,402
Mikel Vesga Arruti,74,CM,Normal,400,3,3,M \ H,41,63,70,66,75,78,"191cm | 6'3""",4,393
Ashley Young,74,"LM,LB,LW",Normal,500,4,3,H \ M,67,65,75,77,72,67,"175cm | 5'9""",33,423
José Sand,74,"ST,CF",Sudamericana,1.9K,3,4,H \ L,47,78,62,67,37,67,"182cm | 6'0""",6,358
Sebastián Viera,74,GK,Sudamericana,1.8K,1,3,M \ M,71,73,71,76,39,75,"185cm | 6'1""",0,405
Adrian Mierzejewski,74,"CAM,RM,ST",Normal,850,4,4,H \ L,74,75,73,76,47,73,"176cm | 5'9""",15,418
Bebé,74,"RM,LM,RW,ST",Normal,2K,3,4,M \ L,82,77,71,72,41,83,"190cm | 6'3""",36,426
Zeca,74,"CDM,CM",Normal,750,3,3,M \ H,72,59,68,69,72,74,"182cm | 6'0""",1,414
Andreas Ulmer,74,"LB,LWB",Normal,800,3,3,H \ M,69,63,70,73,72,72,"175cm | 5'9""",5,419
Ryan Bertrand,74,"LB,LWB",Normal,550,3,3,M \ M,68,53,71,72,72,70,"179cm | 5'10""",-1,406
Jack Cork,74,"CDM,CM",Normal,450,3,4,L \ H,40,60,70,68,73,76,"184cm | 6'0""",4,387
Jay Rodriguez,74,"ST,CF",Normal,450,3,4,H \ M,65,76,68,73,42,66,"185cm | 6'1""",7,390
Wayne Hennessey,74,GK,Normal,800,1,3,M \ M,76,74,77,71,40,74,"198cm | 6'6""",5,412
Lasse Schøne,74,"CM,CDM",Normal,1.7K,3,3,M \ M,36,74,80,75,61,62,"178cm | 5'10""",15,388
Kevin-Prince Boateng,74,"CAM,CDM,CM",Normal,500,4,4,M \ M,48,74,74,77,65,69,"186cm | 6'1""",21,407
Marco Pereira,74,GK,Normal,350,1,3,M \ M,74,69,77,74,57,73,"184cm | 6'0""",1,424
Morgan Schneiderlin,74,"CDM,CM",Normal,1.7K,3,4,L \ H,45,58,70,70,73,74,"186cm | 6'1""",7,390
Ángel,74,"ST,CAM,CF",Normal,400,3,3,M \ M,69,75,62,74,34,65,"172cm | 5'8""",0,379
Vitorino Pacheco Antunes,74,"LB,LWB",Normal,400,4,3,M \ M,71,69,74,74,71,68,"176cm | 5'9""",8,427
